lead_id,niche,business_name,phone,email,website,address,city,state,source_url,contact_group_id,business_group_id,location_group_id,dedupe_status,dedupe_reason,outreach_suppression_key,quality_score,extraction_timestamp,website_domain,normalized_phone,normalized_email,validation_status,rejection_reason
lead_816bdf0d4a78,interior_designer,Ackerman Design Group,916-939-0252,,,98 Clarksville Rd Suite 180,Folsom,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_046,business_046,location_046,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+19169390252,50,2026-04-25T23:08:48.777917Z,,+19169390252,,valid,
lead_77098b0bf21c,interior_designer,Arlene Semel & Assocs,312-640-0000,,,223 W Erie St,Chicago,IL,https://www.interiordesignlink.com/illinois-interior-designers-decorators.html,contact_059,business_059,location_059,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13126400000,50,2026-04-25T23:08:49.471131Z,,+13126400000,,valid,
lead_982be5c2e5c6,interior_designer,Atelier K & F Interior Designer,949-295-0557,,,220 Newport Center Dr Suite 11-155,Newport Beach,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_054,business_054,location_054,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+19492950557,50,2026-04-25T23:08:48.777917Z,,+19492950557,,valid,
lead_9c1e4d6d6a14,interior_designer,Barbara Schlattman Interior Designer,281-444-0240,,,14206 Bonney Brier Dr,Houston,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_083,business_084,location_083,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+12814440240,50,2026-04-25T23:08:50.216277Z,,+12814440240,,valid,
lead_3d4e7d7084df,interior_designer,Barclay Butera Interiors,323-634-0200,,,918 N La Cienega Blvd,West Hollywood,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_043,business_043,location_043,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13236340200,50,2026-04-25T23:08:48.777917Z,,+13236340200,,valid,
lead_53c29684515a,interior_designer,Beardsley Weiss,323-664-0450,,,2431 Moreno Dr,Los Angeles,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_052,business_052,location_052,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+13236640450,50,2026-04-25T23:08:48.777917Z,,+13236640450,,valid,
lead_299599947aee,interior_designer,Beverly Hayes Interior Design,972-380-0585,,,5931 Bent Creek Trail,Dallas,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_096,business_098,location_096,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+19723800585,50,2026-04-25T23:08:50.216277Z,,+19723800585,,valid,
lead_7838f8100b9d,interior_designer,Blinds by Williams Interiors,214-547-0551,,,904 Tyler Ct,Allen,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_091,business_093,location_091,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+12145470551,50,2026-04-25T23:08:50.216277Z,,+12145470551,,valid,
lead_f6b03324929c,interior_designer,Bolander Design Assocs,530-885-0636,,,PO Box 5545,Auburn,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_056,business_056,location_056,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+15308850636,50,2026-04-25T23:08:48.777917Z,,+15308850636,,valid,
lead_8e77063290bc,interior_designer,Carol Barnes Interior Design,415-435-0249,,,15 Harbor Oak Dr,Tiburon,CA,https://www.interiordesignlink.com/california-interior-designers-decorators.html,contact_045,business_045,location_045,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+14154350249,50,2026-04-25T23:08:48.777917Z,,+14154350249,,valid,
lead_eaf90e469e5a,interior_designer,Conceptual Interiors Inc,972-991-0500,,,14800 Quorum Dr Suite 480,Dallas,TX,https://www.interiordesignlink.com/texas-interior-designers-decorators.html,contact_089,business_091,location_089,unique,"No stronger duplicate, contact, or business grouping evidence was found.",phone:+19729910500,50,2026-04-25T23:08:50.216277Z,,+19729910500,,valid,
